Department,Item, Member Price , Non-Member Price , Event Price Member , Event Price , Partner ,Data source,Platform,Data fields,Notes
Publication,Manual of Avian Practice: A Foundation Manual (P00149), £55.25 , £85.00 , £44.20 , £68.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),"Book Title (Product Number), Book Image, Member Price, Non-Member Price, Overview (free text), Contents (free text), Inventory (backend only)",
Publication,Manual of Backyard Poultry Medicine and Surgery (P00122), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Canine Practice: A Foundation Manual (P00126), £55.25 , £85.00 , £44.20 , £68.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Canine and Feline Abdominal Imaging (P00093), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Abdominal Surgery, 2nd edition (P00135)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Advanced Veterinary Nursing, 2nd edition (P00081)", £48.75 , £75.00 , £39.00 , £60.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Anaesthesia and Analgesia, 3rd edition (P00134)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Behavioural Medicine, 2nd edition (P00095)", £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Cardiorespiratory Medicine, 2nd edition (P00094)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Clinical Pathology, 3rd edition (P00136)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Dentistry and Oral Surgery, 4th edition (P00133)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Dermatology, 4th edition (P00178)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Emergency and Critical Care, 3rd edition (P00137)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Endocrinology, 5th edition (P00181)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Endoscopy and Endosurgery, 2nd edition (P00167)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Fracture Repair and Management, 2nd edition (P00141)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Gastroenterology, 3rd edition (P00157)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Haematology and Transfusion Medicine, 2nd edition (P00107)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Head, Neck and Thoracic Surgery, 2nd edition (P00154)", £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Musculoskeletal Disorders, 2nd edition (P00142)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Musculoskeletal Imaging, 2nd edition (P00146)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Nephrology and Urology, 3rd edition (P00155)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Neurology, 5th edition (P00180)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Oncology, 3rd edition (P00102)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Ophthalmology, 3rd edition (P00120)", £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Canine and Feline Radiography and Radiology: A Foundation Manual (P00121), £55.25 , £85.00 , £44.20 , £68.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Rehabilitation, Supportive and Palliative Care (P00100)", £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Reproduction and Neonatology, 2nd edition (P00098)", £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Canine and Feline Shelter Medicine: Principles of Health and Welfare in a Multi-animal Environment (P00151), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Canine and Feline Surgical Principles: A Foundation Manual (P00103), £55.25 , £85.00 , £44.20 , £68.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Canine and Feline Ultrasonography (P00108), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Canine and Feline Wound Management and Reconstruction, 2nd edition (P00092)", £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Exotic Pet and Wildlife Nursing (P00114), £48.75 , £75.00 , £39.00 , £60.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Exotic Pets, 5th edition: A Foundation Manual (P00096)", £55.25 , £85.00 , £44.20 , £68.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Feline Practice: A Foundation Manual (P00117), £61.75 , £95.00 , £49.40 , £76.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Guinea Pigs (P00183), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Practical Animal Care (P00079), £35.75 , £55.00 , £28.60 , £44.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Practical Veterinary Nursing (P00080), £42.25 , £65.00 , £33.80 , £52.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,Manual of Practical Veterinary Welfare (P00177), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,"Manual of Psittacine Birds, 2nd edition (P00070)", £39.00 , £60.00 , £31.20 , £48.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
Publication,BSAVA Manual of Rabbit Medicine (P00127), £58.50 , £90.00 , £46.80 , £72.00 ,,Salesforce / ARQ,bsava.com (Print) / bsavalibrary.com (digital),As above,
