title,description,isbn,authors,memberPrice,nonMemberPrice,coverImage,publishDate
"Textbook of Veterinary Nursing, 6th edition",,P00161,,45.5,70.0,,
Guide to the Use of Veterinary Medicines,Member benefit: This book is included in the BSAVA App for all members with App access. This book is free to access for all,digital only,,0,0,,
All Manual Pack,,PK0001,,2470.0,3800.0,,
Canine and Feline Medicine Manual Pack,,PK0002,,273.0,420.0,,
Canine and Feline Surgery Manuals Pack,,PK0003,,354.25,545.0,,
Canine and Feline Imaging Manual Pack,,PK0004,,263.25,405.0,,
Foundation Manual Pack,,PK0005,,292.5,450.0,,
Canine and Feline ECC Manual Pack,,PK0006,,266.5,410.0,,
Veterinary nursing pack,,PK0007,,143.0,220.0,,
BSAVA/SAMSoc Non-prescription pad,,P00170,,3.79,5.83,,
BSAVA/SAMSoc Non-prescription pad - 10 pads,,P00171,,19.5,30.0,,
Poster Series: Bandaging Techniques,,PR0001,,5.41,8.33,,
Poster Series: Canine 'Ladder of Aggression',,PR0004,,8.13,12.5,,
Poster Series: Canine castration - hints and tips,,PR0002,,8.13,12.5,,
Poster Series: Suture patterns,,PR0005,,8.13,12.5,,
BSAVA/SAMSoc PROTECT ME poster: Antibiotic use in our practice (2023),,PR0007,,0,4.17,,
BSAVA/SAMSoc/RWA&F PROTECT ME poster: Antibiotic use in rabbits,,2024,,0,4.17,,
Rover - Fetch,,25 searches for members / 5 searches for non-members - refreshed every month,,0,0,,
Rover - Pack  - 25 queries,,no time limit on use,,10.0,20.0,,
Rover - Pack  - 50 queries,,no time limit on use,,15.0,30.0,,
Rover - Pack - 100 queries,,no time limit on use,,25.0,50.0,,
Rover - Unleashed - unlimited queries,,fair usage applies,,30.0,75.0,,
Rover - Unleashed - unlimited queries,,fair usage applies,,330.0,825.0,,
Professional Key Skills - webinars,,Member exclusive,,0,0,,
BSAVA App -5 BSAVA Publications - Formularies,,Canine and Feline & Exotics,,0,0,,
Corporate Practice - Library Access,,Plus PG Cert allowance for 1 partner,,0,0,,
Subscribing Institutions - Library Access - Includes library content and selected publications,,,,0,0,,
Companion Magazine,,Monthly,,0,0,,
