title,description,courseType,startDate,duration,memberPrice,nonMemberPrice,onlineUrl
Regional in-person CPD,,regional-cpd,,,0,0,
Regional in-person CPD,,regional-cpd,,,0,40.0,
Regional in-person CPD,,regional-cpd,,,0,20.0,
Regional online CPD,,regional-cpd,,,0,0,
Regional online CPD,,regional-cpd,,,0,25.0,
Regional online CPD,,regional-cpd,,,0,15.0,
Regional in-person (full day) - Member Vet and Veterinary Nurses,,regional-cpd,,,200.0,450.0,
Regional in-person,,regional-cpd,,,0,50.0,
Regional in-person,,regional-cpd,,,0,50.0,
Clinical Rounds - Monthly live webinar - Vet Members,Member benefit: Vet Members can access a live webinar every month and the catch up on the recording in the library. Designed for Vets but veterinary nurse members can attend.,webinar,,,0,0,
Postgraduate Certificate - Small Animal Surgery (3 years) - January Intake - 35 places. Price includes membership,,regional-cpd,,,0,12945.0,
Postgraduate Certificate - Small Animal Medicine (3 years) - January Intake - 35 places. Price includes membership,,regional-cpd,,,0,12945.0,
Postgraduate Certificate - Small Animal Diagnostic Imaging (3 years) - January Intake - 35 places. Price includes membership,,regional-cpd,,,0,12945.0,
Postgraduate Certificate - Small Animal Emergency and Critical Care (3 years) - May Intake - 35 places. Price includes membership,,regional-cpd,,,0,12945.0,
Postgraduate Certificate - Ophthalmology (3 years) - May Intake - 35 places. Price includes membership,,regional-cpd,,,0,12945.0,
Master's in Clinical Veterinary Research (2 years) - rolling enrolement,,regional-cpd,,,0,7020.0,
Postgraduate Certificate - course sponsorship,,regional-cpd,,,0,0,
Dispensing Course,,regional-cpd,,,178.8,264.0,
LUMOS - Foundation Course,,regional-cpd,,,0,300.0,
LUMOS - Intermediate Course,,regional-cpd,,,0,350.0,
LUMOS - Advanced Course,,regional-cpd,,,0,400.0,
LUMOS - Foundation Course,,regional-cpd,,,0,100.0,
LUMOS - Intermediate Course,,regional-cpd,,,0,200.0,
LUMOS - Advanced Course,,regional-cpd,,,0,300.0,
LUMOS - Core Skills,,regional-cpd,,,0,300.0,
