title,description,isbn,authors,memberPrice,nonMemberPrice,coverImage,publishDate,downloadUrl,fileFormat
Manual of Avian Practice: A Foundation Manual,,P00149,,55.25,85.0,,,,epub
Manual of Backyard Poultry Medicine and Surgery,,P00122,,58.5,90.0,,,,epub
Manual of Canine Practice: A Foundation Manual,,P00126,,55.25,85.0,,,,epub
Manual of Canine and Feline Abdominal Imaging,,P00093,,58.5,90.0,,,,epub
"Manual of Canine and Feline Abdominal Surgery, 2nd edition",,P00135,,61.75,95.0,,,,epub
"Manual of Canine and Feline Advanced Veterinary Nursing, 2nd edition",,P00081,,48.75,75.0,,,,epub
"Manual of Canine and Feline Anaesthesia and Analgesia, 3rd edition",,P00134,,61.75,95.0,,,,epub
"Manual of Canine and Feline Behavioural Medicine, 2nd edition",,P00095,,58.5,90.0,,,,epub
"Manual of Canine and Feline Cardiorespiratory Medicine, 2nd edition",,P00094,,61.75,95.0,,,,epub
"Manual of Canine and Feline Clinical Pathology, 3rd edition",,P00136,,61.75,95.0,,,,epub
"Manual of Canine and Feline Dentistry and Oral Surgery, 4th edition",,P00133,,61.75,95.0,,,,epub
"Manual of Canine and Feline Dermatology, 4th edition",,P00178,,61.75,95.0,,,,epub
"Manual of Canine and Feline Emergency and Critical Care, 3rd edition",,P00137,,61.75,95.0,,,,epub
"Manual of Canine and Feline Endocrinology, 5th edition",,P00181,,61.75,95.0,,,,epub
"Manual of Canine and Feline Endoscopy and Endosurgery, 2nd edition",,P00167,,61.75,95.0,,,,epub
"Manual of Canine and Feline Fracture Repair and Management, 2nd edition",,P00141,,61.75,95.0,,,,epub
"Manual of Canine and Feline Gastroenterology, 3rd edition",,P00157,,61.75,95.0,,,,epub
"Manual of Canine and Feline Haematology and Transfusion Medicine, 2nd edition",,P00107,,61.75,95.0,,,,epub
"Manual of Canine and Feline Head, Neck and Thoracic Surgery, 2nd edition",,P00154,,58.5,90.0,,,,epub
"Manual of Canine and Feline Musculoskeletal Disorders, 2nd edition",,P00142,,61.75,95.0,,,,epub
"Manual of Canine and Feline Musculoskeletal Imaging, 2nd edition",,P00146,,61.75,95.0,,,,epub
"Manual of Canine and Feline Nephrology and Urology, 3rd edition",,P00155,,61.75,95.0,,,,epub
"Manual of Canine and Feline Neurology, 5th edition",,P00180,,61.75,95.0,,,,epub
"Manual of Canine and Feline Oncology, 3rd edition",,P00102,,61.75,95.0,,,,epub
"Manual of Canine and Feline Ophthalmology, 3rd edition",,P00120,,61.75,95.0,,,,epub
Manual of Canine and Feline Radiography and Radiology: A Foundation Manual,,P00121,,55.25,85.0,,,,epub
"Manual of Canine and Feline Rehabilitation, Supportive and Palliative Care",,P00100,,58.5,90.0,,,,epub
"Manual of Canine and Feline Reproduction and Neonatology, 2nd edition",,P00098,,58.5,90.0,,,,epub
Manual of Canine and Feline Shelter Medicine: Principles of Health and Welfare in a Multi-animal Environment,,P00151,,58.5,90.0,,,,epub
Manual of Canine and Feline Surgical Principles: A Foundation Manual,,P00103,,55.25,85.0,,,,epub
Manual of Canine and Feline Ultrasonography,,P00108,,58.5,90.0,,,,epub
"Manual of Canine and Feline Wound Management and Reconstruction, 2nd edition",,P00092,,58.5,90.0,,,,epub
Manual of Exotic Pet and Wildlife Nursing,,P00114,,48.75,75.0,,,,epub
"Manual of Exotic Pets, 5th edition: A Foundation Manual",,P00096,,55.25,85.0,,,,epub
Manual of Feline Practice: A Foundation Manual,,P00117,,61.75,95.0,,,,epub
Manual of Guinea Pigs,,P00183,,58.5,90.0,,,,epub
Manual of Practical Animal Care,,P00079,,35.75,55.0,,,,epub
Manual of Practical Veterinary Nursing,,P00080,,42.25,65.0,,,,epub
Manual of Practical Veterinary Welfare,,P00177,,58.5,90.0,,,,epub
"Manual of Psittacine Birds, 2nd edition",,P00070,,39.0,60.0,,,,epub
BSAVA Manual of Rabbit Medicine,,P00127,,58.5,90.0,,,,epub
"Manual of Rabbit Surgery, Dentistry and Imaging",,P00119,,61.75,95.0,,,,epub
"Manual of Raptors, Pigeons and Passerine Birds",,P00089,,61.75,95.0,,,,epub
"Manual of Reptiles, 3rd edition",,P00147,,61.75,95.0,,,,epub
Manual of Rodents and Ferrets,,P00091,,61.75,95.0,,,,epub
Manual of Small Animal Practice Management and Development (P00118,,,,61.75,95.0,,,,epub
"Manual of Wildlife Casualties, 2nd edition",,P00148,,58.5,90.0,,,,epub
"Small Animal Formulary, 11th edition - Part A: Canine and Feline","Member benefit: This book is included in the BSAVA App for all members with App access.
This publication is updated (in print format) every three years and Vet members automatically receive a printed copy on release as part of their member benefits. Updates to this publication are added to the digital and app editions periodically.",P00188,,35.75,55.0,,,,epub
"Small Animal Formulary, 11th edition - Part B: Exotic Pets","Member benefit: This book is included in the BSAVA App for all members with App access.
Updates to this publication are added to the digital and app editions periodically.",P00189,,35.75,55.0,,,,epub
Cognitive Aids for Anaesthesia in Small Animal Practice,,P00175,,19.5,30.0,,,,epub
Guide to Nutrition in Small Animal Practice,,P00179,,32.5,50.0,,,,epub
Guide to Pain Management in Small Animal Practice,,P00159,,32.5,50.0,,,,epub
"Guide to Procedures in Small Animal Practice, 3rd edition",Member benefit: This book is included in the BSAVA App for all members with App access.,P00190,,45.5,70.0,,,,epub
Guide to Radiographic Positioning,,P00165,,9.75,15.0,,,,epub
"Pocketbook for Vets, 2nd edition",,P00168,,19.5,30.0,,,,epub
"Pocketbook for Veterinary Nurses, 2nd edition",Member Benefit: Veterinary Nurses receive this book in print format on signing up for membership,P00182,,19.5,30.0,,,,epub
BSAVA/VPIS Guide to Common Canine and Feline Poisons,Member benefit: This book is included in the BSAVA App for all members with App access.,P00123,,32.5,50.0,,,,epub
How To...collected articles from Companion 2016-2020,,P00184,,16.25,25.0,,,,epub
Congress Proceedings 2025,,,,0,415.0,,,,epub
Companion Magazine,,Monthly,,0,12.5,,,,epub
Student Companion Magazine,,Annual - September,,0,0,,,,epub
