title,description,eventType,startDate,endDate,location,onlineUrl,memberPrice,nonMemberPrice
Vets Cymru - Vet - Full Pass,,regional,,,,,0,0
Vets Cymru - Vet - Day Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse - Full Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse - Day Pass,,regional,,,,,0,0
Vets Cymru - Vet - Full Pass,,regional,,,,,0,0
Vets Cymru - Vet - Day Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse / Practice Manager - Full Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse / Practice Manager - Day Pass,,regional,,,,,0,0
Vets Cymru - Member Student / Retired - Full Pass - 2 Days - Early Bird,,regional,,,,,0,0
Vets Cymru - Member Student / Retired - Day Pass - 1 Day - Early Bird,,regional,,,,,0,0
Vets Cymru - Vet - Full Pass,,regional,,,,,0,0
Vets Cymru - Vet - Day Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse - Full Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse - Day Pass,,regional,,,,,0,0
Vets Cymru - Vet - Full Pass,,regional,,,,,0,0
Vets Cymru - Vet - Day Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse / Practice Manager - Full Pass,,regional,,,,,0,0
Vet Cymru - Vet Nurse / Practice Manager - Day Pass,,regional,,,,,0,0
Vets Cymru - Member Student / Retired - Full Pass - 2 Days - Standard,,regional,,,,,0,0
Vets Cymru - Member Student / Retired - Day Pass - 1 Day - Standard,,regional,,,,,0,0
Alba (2025 prices) - Vet - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet - Day Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse - Day Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet - Day Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse / Practice Manager - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse / Practice Manager - Day Pass,,regional,,,,,0,0
Alba,,regional,,,,,0,0
Alba,,regional,,,,,0,0
Alba (2025 prices) - Vet - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet - Day Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse - Day Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet - Day Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse / Practice Manager - Full Pass,,regional,,,,,0,0
Alba (2025 prices) - Vet Nurse / Practice Manager - Day Pass,,regional,,,,,0,0
Alba,,regional,,,,,0,0
Alba,,regional,,,,,0,0
Vets Cymru - Exhibition Stand,,regional,,,,,0,0
Vets Cymru - Sponsorship - Bag insert,,regional,,,,,0,0
Vets Cymru - Sponsorship - Event Guide - Back Page Advert,,regional,,,,,0,0
Vets Cymru - Sponsorship - Event Guide - Internal Advert,,regional,,,,,0,0
Vets Cymru - Sponsorship - Event Guide - Session Sponsorship,,regional,,,,,0,0
Vets Cymru - Sponsorship - Additional Staff Passes,,regional,,,,,0,0
Alba - Exhibition Stand,,regional,,,,,0,0
Alba - Sponsorship - Registration Sponsor,,regional,,,,,0,0
Alba - Sponsorship - Attendee Badge Sponsor,,regional,,,,,0,0
Alba - Sponsorship - Lanyards Sponsor,,regional,,,,,0,0
Alba - Sponsorship - Delegate Bag Insert,,regional,,,,,0,0
Alba - Sponsorship - Event Guide Back Page advert,,regional,,,,,0,0
Alba - Sponsorship - Event Guide Inside advert,,regional,,,,,0,0
Alba - Sponsorship - Website Banner,,regional,,,,,0,0
Alba - Sponsorship - Programme Preview Advert,,regional,,,,,0,0
Alba - Exhibitor showcase - Workshop,,regional,,,,,0,0
Alba - Exhibitor showcase - Session Sponsor,,regional,,,,,0,0
Alba - Catering - Reception Sponsor,,regional,,,,,0,0
Alba - Catering - Refreshment and Lunch Sponsor,,regional,,,,,0,0
